epoch,phase,train_loss,train_acc,val_loss,val_bal_acc,lr
0,phase1,2.5029,0.3575,1.4126,0.4835,0.000333
1,phase1,2.0652,0.4845,1.2084,0.5780,0.000667
2,phase1,1.9442,0.5300,1.1699,0.5826,0.001000
3,phase1,1.8474,0.5629,1.2079,0.5894,0.001000
4,phase1,1.8168,0.5719,1.1099,0.6140,0.000983
5,phase1,1.7701,0.5976,1.1293,0.6188,0.000933
6,phase1,1.7283,0.6063,1.1101,0.6243,0.000854
7,phase1,1.6577,0.6286,1.0966,0.6552,0.000750
8,phase1,1.6965,0.6240,1.0754,0.6491,0.000629
9,phase1,1.6744,0.6273,1.0337,0.6520,0.000500
10,phase1,1.6187,0.6463,1.0507,0.6419,0.000371
11,phase1,1.6225,0.6455,1.0438,0.6510,0.000250
12,phase1,1.5952,0.6529,1.0383,0.6454,0.000146
13,phase1,1.6343,0.6346,1.0474,0.6542,0.000067
14,phase1,1.6445,0.6364,1.0361,0.6586,0.000017
0,phase2,1.5901,0.6590,0.9760,0.7163,0.000003
1,phase2,1.5677,0.6674,0.9552,0.7213,0.000007
2,phase2,1.5575,0.6758,1.0229,0.6879,0.000010
3,phase2,1.4561,0.7096,0.9569,0.7111,0.000010
4,phase2,1.4747,0.7105,0.9092,0.7284,0.000010
5,phase2,1.4563,0.7156,0.8913,0.7400,0.000010
6,phase2,1.4342,0.7242,0.9030,0.7403,0.000010
7,phase2,1.3678,0.7343,0.8894,0.7416,0.000009
8,phase2,1.3148,0.7486,0.8911,0.7535,0.000009
9,phase2,1.2703,0.7676,0.9242,0.7475,0.000008
10,phase2,1.3099,0.7601,0.8680,0.7552,0.000008
11,phase2,1.3485,0.7398,0.9193,0.7481,0.000007
12,phase2,1.2322,0.7787,0.8645,0.7597,0.000006
13,phase2,1.2952,0.7674,0.8792,0.7622,0.000006
14,phase2,1.3052,0.7580,0.8464,0.7583,0.000005
15,phase2,1.2908,0.7660,0.8402,0.7605,0.000004
16,phase2,1.2370,0.7773,0.8567,0.7519,0.000004
17,phase2,1.2641,0.7759,0.8620,0.7573,0.000003
18,phase2,1.2036,0.7857,0.8483,0.7618,0.000002
19,phase2,1.2489,0.7745,0.8627,0.7535,0.000002
20,phase2,1.2111,0.7918,0.8429,0.7546,0.000001
21,phase2,1.2306,0.7795,0.8473,0.7700,0.000001
22,phase2,1.2183,0.7882,0.8460,0.7688,0.000000
23,phase2,1.1252,0.8111,0.8420,0.7709,0.000000
24,phase2,1.2369,0.7897,0.8454,0.7678,0.000000
