epoch,phase,train_loss,train_acc,val_loss,val_bal_acc,lr
0,phase1,2.4351,0.3723,1.3301,0.5142,0.000333
1,phase1,2.0289,0.4960,1.2255,0.5693,0.000667
2,phase1,1.9337,0.5275,1.0931,0.6435,0.001000
3,phase1,1.8731,0.5631,1.2386,0.6108,0.001000
4,phase1,1.7845,0.5866,1.0761,0.6524,0.000983
5,phase1,1.7351,0.6018,1.1944,0.6117,0.000933
6,phase1,1.7138,0.6121,1.1212,0.6580,0.000854
7,phase1,1.7390,0.6107,1.1307,0.6441,0.000750
8,phase1,1.7131,0.6172,1.0631,0.6750,0.000629
9,phase1,1.6577,0.6315,1.0879,0.6655,0.000500
10,phase1,1.6248,0.6496,1.1258,0.6373,0.000371
11,phase1,1.5657,0.6606,1.0686,0.6803,0.000250
12,phase1,1.5727,0.6591,1.0388,0.6795,0.000146
13,phase1,1.5425,0.6678,1.0331,0.6828,0.000067
14,phase1,1.6347,0.6404,1.0399,0.6832,0.000017
0,phase2,1.5868,0.6601,1.0576,0.6816,0.000003
1,phase2,1.6512,0.6497,0.9795,0.7023,0.000007
2,phase2,1.5128,0.6844,0.9099,0.7463,0.000010
3,phase2,1.5574,0.6836,0.9564,0.7408,0.000010
4,phase2,1.4457,0.7136,0.8993,0.7724,0.000010
5,phase2,1.4821,0.6956,0.8904,0.7677,0.000010
6,phase2,1.3629,0.7388,0.8734,0.7776,0.000010
7,phase2,1.3963,0.7317,0.8972,0.7761,0.000009
8,phase2,1.4020,0.7308,0.9503,0.7336,0.000009
9,phase2,1.3460,0.7356,0.8842,0.7664,0.000008
10,phase2,1.3884,0.7381,0.8538,0.8006,0.000008
11,phase2,1.3249,0.7480,0.8386,0.7853,0.000007
12,phase2,1.3055,0.7576,0.8646,0.7859,0.000006
13,phase2,1.2565,0.7710,0.8340,0.8080,0.000006
14,phase2,1.2361,0.7799,0.8708,0.7815,0.000005
15,phase2,1.3224,0.7603,0.8577,0.7813,0.000004
16,phase2,1.2613,0.7694,0.8872,0.7716,0.000004
17,phase2,1.2561,0.7786,0.8578,0.7832,0.000003
18,phase2,1.2243,0.7836,0.8178,0.7943,0.000002
19,phase2,1.2382,0.7833,0.8360,0.7919,0.000002
20,phase2,1.2072,0.7860,0.8266,0.8095,0.000001
21,phase2,1.1440,0.8079,0.8320,0.8046,0.000001
22,phase2,1.2386,0.7806,0.8311,0.7993,0.000000
23,phase2,1.2424,0.7785,0.8220,0.8055,0.000000
24,phase2,1.1822,0.7946,0.8224,0.8022,0.000000
