epoch,phase,train_loss,train_acc,val_loss,val_bal_acc,lr
0,phase1,2.4035,0.3766,1.3926,0.4533,0.000333
1,phase1,2.0358,0.4876,1.2749,0.5656,0.000667
2,phase1,1.9406,0.5311,1.2655,0.5640,0.001000
3,phase1,1.8637,0.5580,1.1330,0.6156,0.001000
4,phase1,1.7433,0.5916,1.1351,0.6199,0.000983
5,phase1,1.7649,0.5999,1.1788,0.6182,0.000933
6,phase1,1.7091,0.6100,1.0857,0.6479,0.000854
7,phase1,1.7411,0.6079,1.1036,0.6637,0.000750
8,phase1,1.6339,0.6395,1.0671,0.6473,0.000629
9,phase1,1.6488,0.6326,1.1150,0.6394,0.000500
10,phase1,1.5784,0.6486,1.0258,0.6658,0.000371
11,phase1,1.5871,0.6509,1.0688,0.6368,0.000250
12,phase1,1.6426,0.6414,1.0535,0.6618,0.000146
13,phase1,1.5496,0.6681,1.0603,0.6505,0.000067
14,phase1,1.5945,0.6482,1.0474,0.6561,0.000017
0,phase2,1.6202,0.6455,0.9999,0.6922,0.000003
1,phase2,1.5812,0.6605,0.9635,0.7173,0.000007
2,phase2,1.5762,0.6674,0.9505,0.7215,0.000010
3,phase2,1.4830,0.6939,0.9069,0.7542,0.000010
4,phase2,1.4420,0.7143,0.9359,0.7144,0.000010
5,phase2,1.3947,0.7254,0.9193,0.7298,0.000010
6,phase2,1.4417,0.7131,0.9080,0.6905,0.000010
7,phase2,1.3294,0.7456,0.8846,0.7344,0.000009
8,phase2,1.3799,0.7344,0.8706,0.7450,0.000009
9,phase2,1.3597,0.7440,0.9180,0.7019,0.000008
10,phase2,1.3210,0.7498,0.9259,0.7374,0.000008
11,phase2,1.2611,0.7705,0.8889,0.7185,0.000007
12,phase2,1.2778,0.7654,0.8616,0.7519,0.000006
13,phase2,1.3329,0.7465,0.8990,0.7354,0.000006
