epoch,phase,train_loss,train_acc,val_loss,val_bal_acc,lr
0,phase1,2.4509,0.3630,1.4122,0.4624,0.000333
1,phase1,2.0020,0.4997,1.2707,0.5132,0.000667
2,phase1,1.8904,0.5547,1.2157,0.6132,0.001000
3,phase1,1.7989,0.5784,1.2995,0.5477,0.001000
4,phase1,1.8495,0.5750,1.1866,0.5842,0.000983
5,phase1,1.6910,0.6126,1.1189,0.6005,0.000933
6,phase1,1.7486,0.6047,1.1333,0.6057,0.000854
7,phase1,1.6670,0.6256,1.0473,0.6433,0.000750
8,phase1,1.7155,0.6214,1.0985,0.6244,0.000629
9,phase1,1.6152,0.6419,1.0978,0.6101,0.000500
10,phase1,1.6534,0.6451,1.0603,0.6355,0.000371
11,phase1,1.6313,0.6511,1.0717,0.6419,0.000250
12,phase1,1.6376,0.6456,1.0571,0.6344,0.000146
13,phase1,1.6916,0.6344,1.0570,0.6370,0.000067
14,phase1,1.5282,0.6742,1.0458,0.6469,0.000017
0,phase2,1.5762,0.6675,1.0048,0.6743,0.000003
1,phase2,1.5181,0.6831,1.0325,0.6815,0.000007
2,phase2,1.5514,0.6856,0.9870,0.6852,0.000010
3,phase2,1.5124,0.6932,0.9531,0.7212,0.000010
4,phase2,1.4583,0.7048,0.9813,0.7061,0.000010
5,phase2,1.4068,0.7227,0.9072,0.7375,0.000010
6,phase2,1.4539,0.7124,0.9236,0.7245,0.000010
7,phase2,1.3983,0.7275,0.9532,0.7189,0.000009
8,phase2,1.3563,0.7411,0.9525,0.7244,0.000009
9,phase2,1.3532,0.7465,0.9432,0.7427,0.000008
10,phase2,1.3521,0.7446,0.8731,0.7474,0.000008
11,phase2,1.3360,0.7444,0.8491,0.7581,0.000007
12,phase2,1.2918,0.7640,0.8839,0.7372,0.000006
13,phase2,1.3072,0.7601,0.9067,0.7378,0.000006
14,phase2,1.2758,0.7685,0.8468,0.7380,0.000005
15,phase2,1.1985,0.7936,0.8774,0.7359,0.000004
16,phase2,1.2092,0.7862,0.8736,0.7417,0.000004
17,phase2,1.2202,0.7847,0.8579,0.7494,0.000003
18,phase2,1.2084,0.7868,0.8742,0.7587,0.000002
19,phase2,1.2180,0.7823,0.8433,0.7420,0.000002
20,phase2,1.1339,0.8042,0.8364,0.7615,0.000001
21,phase2,1.2212,0.7872,0.8454,0.7507,0.000001
22,phase2,1.1771,0.7982,0.8463,0.7535,0.000000
23,phase2,1.2036,0.7974,0.8486,0.7526,0.000000
24,phase2,1.2232,0.7812,0.8475,0.7546,0.000000
